unit,landcover,geo\time	2015 	2012 	2009 
CVA,LCA1,SI0	25.7 	25.7 	30.9 
CVA,LCA1,SK	15.1 	16.7 	15.4 
CVA,LCA1,SK0	15.1 	16.7 	15.4 
CVA,LCA1,UK	4.7 	5.3 	5 
CVA,LCA1,UKC	23 	22.9 	21.9 
CVA,LCA1,UKD	16.2 	19.5 	18.3 
CVA,LCA1,UKE	14.4 	16.4 	15.6 
CVA,LCA1,UKF	16 	17.3 	16.8 
CVA,LCA1,UKG	17.1 	18.7 	17.2 
CVA,LCA1,UKH	14.6 	16.4 	14.8 
CVA,LCA1,UKI	16.1 	17.6 	16.3 
CVA,LCA1,UKJ	15.3 	18.4 	17.6 
CVA,LCA1,UKK	15.5 	17.3 	16.2 
CVA,LCA1,UKL	15.2 	17 	16.2 
CVA,LCA1,UKM	17.7 	18.2 	19.2 
CVA,LCA1,UKN	21.1 	23.8 	21.8 
CVA,LCA11,AT	8.6 	8.4 	9.9 
CVA,LCA11,AT1	15.2 	16 	19.1 
CVA,LCA11,AT2	16.8 	15.2 	17.9 
CVA,LCA11,AT3	13.2 	12.7 	14.7 
CVA,LCA11,BE	7.7 	8.4 	9.5 
CVA,LCA11,BE1	96.3 	121.9 	: 
CVA,LCA11,BE2	9.2 	10 	11.3 
CVA,LCA11,BE3	13.9 	15.1 	16.7 
CVA,LCA11,BG	13.7 	14.7 	: 
CVA,LCA11,BG3	17.9 	19.3 	: 
