age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADULT,T,NR,PL	72353 	70041 	69298 	75342 	76596 	81306 	78467 	77522 	80179 	79219 
ADULT,T,NR,PT	13251 	13588 	14007 	13760 	13982 	13262 	12321 	11192 	10766 	10455 
ADULT,T,NR,RO	23055 	27048 	28018 	29840 	32922 	31373 	30244 	27785 	26246 	25781 
ADULT,T,NR,RS	10595 	10433 	9836 	10036 	9791 	9994 	10794 	10962 	10699 	9449 
ADULT,T,NR,SE	5689 	5645 	5673 	5795 	5713 	6284 	6662 	6831 	7280 	7058 
ADULT,T,NR,SI	: 	1299 	1396 	1517 	1349 	1376 	1264 	1344 	1361 	1259 
ADULT,T,NR,SK	9956 	9919 	9824 	9927 	9654 	10713 	10393 	9891 	9159 	7999 
ADULT,T,NR,TR	: 	198325 	175936 	157411 	143589 	134019 	126270 	118701 	113661 	: 
ADULT,T,NR,UKC-L	: 	82969 	83764 	82938 	81019 	83606 	82848 	82348 	79716 	79149 
ADULT,T,NR,UKM	7081 	7147 	7282 	7199 	7327 	7366 	7398 	6987 	6941 	6805 
ADULT,T,NR,UKN	1411 	1407 	1447 	1709 	1796 	1682 	1669 	1448 	1507 	1507 
ADULT,T,NR,XK	1571 	1589 	1437 	1813 	1735 	1682 	1398 	: 	: 	: 
ADULT,T,P_HTHAB,AL	255.81 	262.91 	261.55 	251.59 	: 	: 	: 	: 	: 	: 
ADULT,T,P_HTHAB,AT	120.20 	118.43 	121.15 	122.77 	125.97 	125.83 	125.88 	123.08 	116.85 	107.72 
ADULT,T,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	58.05 	57.78 	: 	: 
ADULT,T,P_HTHAB,BE	: 	: 	121.42 	: 	131.99 	125.44 	124.92 	120.99 	117.72 	114.97 
ADULT,T,P_HTHAB,BG	117.79 	122.71 	122.29 	128.68 	145.81 	155.77 	158.48 	149.70 	143.31 	148.90 
ADULT,T,P_HTHAB,CH	94.48 	95.45 	95.90 	97.40 	100.68 	93.10 	87.26 	90.33 	88.84 	85.34 
ADULT,T,P_HTHAB,CY	83.15 	84.05 	77.17 	74.09 	74.69 	95.23 	91.56 	97.07 	88.85 	104.28 
ADULT,T,P_HTHAB,CZ	255.11 	258.67 	239.66 	214.16 	190.53 	263.75 	265.82 	251.72 	252.88 	238.97 
