unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,MED_E,DEG1,F,Y_GE60,DE	19317 	19140 	18399 	18292 	17726 	17508 	17451 b	17732 	17215 	16699 	16616 	15848 	14931 	15900 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,DK	27240 	26765 	25022 	24537 	24512 	22344 	22758 b	22876 b	20961 	20599 	19525 	19285 	18511 	17815 	17149 	17100 
EUR,MED_E,DEG1,F,Y_GE60,EA	18622 	18346 e	17996 e	17626 e	17617 e	17405 e	17380 e	17082 e	16832 e	16362 e	15986 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,EA18	18754 	18477 	18139 	17771 	17617 	17298 	17265 	16981 	16675 	16212 	15748 	14313 	13710 	13877 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,EA19	18622 	18346 	17996 	17626 	17479 	17167 	17135 	16866 	16567 	16108 	15643 	14225 	13612 	13775 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,EE	6788 	6481 	6008 	5713 	4995 b	5103 	4741 b	4755 	4602 	4633 	3804 	3203 	2822 	2421 	2114 	: 
EUR,MED_E,DEG1,F,Y_GE60,EL	8730 	8673 	8600 	8473 	8491 	8867 	10512 b	10240 	11787 	11144 	10659 	10082 	9380 	8688 	8453 	8150 
EUR,MED_E,DEG1,F,Y_GE60,ES	15533 	15117 	14749 	14540 	14826 	14939 	14984 b	14568 	14792 	14849 	13451 b	10653 	9730 	9445 	9493 	: 
EUR,MED_E,DEG1,F,Y_GE60,EU	16710 	16494 e	16270 e	15900 e	15927 e	15410 e	15436 e	14873 e	14539 e	14257 e	14064 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,EU27	16782 	16563 	16334 	15961 	15985 	15468 	15502 	14935 	14594 	14257 	14064 	13346 	12663 e	12431 e	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,EU28	16710 	16494 	16270 	15900 	15927 	15410 	15436 	14873 	14539 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,FI	23987 	23031 	22174 	21349 	21159 	20209 	20293 b	20018 	19474 	18114 	17068 	15821 	15044 	14597 	14369 	: 
EUR,MED_E,DEG1,F,Y_GE60,FR	24298 	24112 	23998 	23394 	23746 	22970 	22906 b	21855 	20541 	20125 	19609 b	16769 	15849 	16234 	15285 	: 
EUR,MED_E,DEG1,F,Y_GE60,HR	6402 	6066 	5842 	5623 	5542 	5743 	5646 b	5676 	5777 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,HU	5582 	5394 	5430 	5357 	5282 	5031 	5068 b	4968 	4896 	5325 	4917 	4238 	4118 	3910 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,IE	23199 p	22399 	22603 	23361 	21659 	21703 	20406 b	19202 	21198 	21577 	22338 	18716 	16472 	15570 	14065 	12953 
EUR,MED_E,DEG1,F,Y_GE60,IS	: 	: 	28379 	25087 	22163 	20433 	18559 b	18697 	18767 	21977 	29873 	25556 	25408 	20179 	18636 	: 
EUR,MED_E,DEG1,F,Y_GE60,IT	17961 	17704 	17609 	16784 b	16419 	16230 	16339 	15868 	15917 	15018 	15155 	14245 	14137 	13571 	13245 	: 
EUR,MED_E,DEG1,F,Y_GE60,LT	5547 	5104 	4807 	4452 	4277 	4355 	3871 b	3723 	4187 	4223 	3661 	2725 	2184 	1949 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,LU	46800 	42380 	37901 b	38310 	37645 	32812 	36185 b	32978 	33724 	31106 	30431 	29073 	28801 	27454 	26361 	24797 
EUR,MED_E,DEG1,F,Y_GE60,LV	5023 	4760 	4713 	4315 	4091 	3953 	3803 b	3905 	3926 	3860 	3272 	2594 	2031 	1757 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,MK	: 	2857 	2706 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,MT	11330 	11185 	10721 	10724 	10540 	10074 	9743 b	9323 	8834 	8702 	7742 	7599 	7485 	6792 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,NL	20381 	19668 	19290 b	19261 	19059 	18989 	18982 b	18548 	18217 	18033 	17195 	16049 	15798 	15557 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,NO	38778 	37313 	39007 	42107 	: 	41939 	39721 b	34730 	30662 	31558 	29132 	26208 	24550 	22113 	22367 	: 
EUR,MED_E,DEG1,F,Y_GE60,PL	6732 	6166 	6209 	6020 	5821 	5706 	5542 b	5345 	4614 	5269 	4470 	4074 	3622 	2955 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,PT	9773 	9282 	9100 	8657 	8680 	8886 	9037 b	8762 	8761 	8665 	8235 	7324 	7392 	7565 	6672 	: 
EUR,MED_E,DEG1,F,Y_GE60,RO	3829 	3367 	3186 	2910 	2881 	2587 	2789 b	2758 	2698 	2806 	2387 	1806 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,RS	3264 	2996 	3046 	3103 	3182 	3112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
