unit,duration,partner,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N_GE1,OUT,BG	143489 	141562 	116905 	139386 	85246 	121834 	110990 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,CH	2584175 	2583342 	2582048 	2350075 	2251067 	2094844 	2061887 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,CY	138321 e	142196 e	133300 e	116734 e	122878 e	133048 e	228469 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,CZ	607605 	474731 	482327 	483902 	616859 	626863 	529628 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,DE	10903654 	10774431 	11653331 	10515458 	10590728 	11900464 	11212876 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,DK	1539091 e	1520695 e	1933877 	1870772 	1919803 	2029940 	1991485 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,EA	30193765 	: 	31392896 	29912869 	29006634 	30589331 	29860255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,EE	175450 	119166 	152901 	134293 	142964 	176278 	157276 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,EL	365930 	262041 	324204 	301135 	307995 	292173 	281774 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,ES	2232321 	2102882 	2057163 	2017065 b	1515406 	1418408 	1485142 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,EU25	48215936 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,EU27	48631832 e	: 	49771134 	48957050 	46968975 	46335834 	52992593 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,EU28	48926190 e	: 	49992696 	49177606 	47328339 	46496548 	53603655 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,FI	211811 	206345 	221004 	222930 	248893 	241596 	242491 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,FR	2030045 	2087293 	2237982 	2100083 	2064372 	2015155 	1899017 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,HR	294358 	350107 	221562 	220556 b	359364 	160714 	658381 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
